name,author_id,snippet,link,source
WonHyoung Ryu,qSJdRfwAAAAJ,"Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Nano fabrication3D printingMicroneedlePhotosynthetic ...",https://scholar.google.com/citations?user=qSJdRfwAAAAJ&hl=en,Google Scholar
Taeyoon Lee,hDl2Z8wAAAAJ,"Professor of Electrical and Electronic Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage",https://scholar.google.com/citations?user=hDl2Z8wAAAAJ&hl=en,Google Scholar
Kyoungsoo Park,j1H0EVwAAAAJ,"Professor of Civil & Environmental Engineering, Yonsei University - ‪‪Cited by 4639‬‬ - ‪Fracture mechanics‬ - ‪Computational mechanics‬ - ‪Concrete‬",https://scholar.google.com/citations?user=j1H0EVwAAAAJ&hl=en,Google Scholar
Jongsup Hong,dYzIc38AAAAJ,"Professor, Department of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Heat and Mass TransportThermo-electrochemistry ...",https://scholar.google.com/citations?user=dYzIc38AAAAJ&hl=en,Google Scholar
Kyoungsik Kim,AG1oAa8AAAAJ,"Yonsei University, Mechanical Engineering. Verified email at yonsei.ac.kr - Homepage · Photonic quantum computingOptical neural networkMetamaterialsTopological ...",https://scholar.google.com/citations?user=AG1oAa8AAAAJ&hl=en,Google Scholar
Ki Jun Yu,HfU4zn8AAAAJ,"Lee Youn Jae Fellow Professor of Electrical & Electronic Engineering, Yonsei University - ‪‪Cited by 18519‬‬ - ‪Flexible Electronics‬ - ‪Bio-integrated‬ ...",https://scholar.google.com/citations?user=HfU4zn8AAAAJ&hl=en,Google Scholar
Seong Chan Jun,6ngSITAAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 15423‬‬ - ‪Nano-Electronics/Photonics‬ - ‪Nano-Energy‬ - ‪AI Multi Sensor‬",https://scholar.google.com/citations?user=6ngSITAAAAAJ&hl=en,Google Scholar
Jongeun Choi,Z-UlU3MAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 4540‬‬ - ‪Machine Learning‬ - ‪Robot Learning‬ - ‪Systems and Control‬ - ‪AI in‬ ...",https://scholar.google.com/citations?user=Z-UlU3MAAAAJ&hl=en,Google Scholar
Yoon Seok Jung - Google 학술 검색,XyiSAkUAAAAJ,"Department of Chemical and Biomolecular Engineering, Yonsei University - ‪‪인용 횟수 16164번‬‬ - ‪Batteries‬ - ‪Electrochemistry‬",https://scholar.google.com/citations?user=XyiSAkUAAAAJ&hl=ko,Google Scholar
Wonjung Kim,hSUXwCQAAAAJ,"Associate Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage Small-scale fluids",https://scholar.google.com/citations?user=hSUXwCQAAAAJ&hl=en,Google Scholar
WonHyoung Ryu,qSJdRfwAAAAJ,"Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Nano fabrication3D printingMicroneedlePhotosynthetic ...",https://scholar.google.com/citations?user=qSJdRfwAAAAJ&hl=en,Google Scholar
Taeyoon Lee,hDl2Z8wAAAAJ,"Professor of Electrical and Electronic Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage",https://scholar.google.com/citations?user=hDl2Z8wAAAAJ&hl=en,Google Scholar
Kyoungsoo Park,j1H0EVwAAAAJ,"Professor of Civil & Environmental Engineering, Yonsei University - ‪‪Cited by 4639‬‬ - ‪Fracture mechanics‬ - ‪Computational mechanics‬ - ‪Concrete‬",https://scholar.google.com/citations?user=j1H0EVwAAAAJ&hl=en,Google Scholar
Jongsup Hong,dYzIc38AAAAJ,"Professor, Department of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Heat and Mass TransportThermo-electrochemistry ...",https://scholar.google.com/citations?user=dYzIc38AAAAJ&hl=en,Google Scholar
Kyoungsik Kim,AG1oAa8AAAAJ,"Yonsei University, Mechanical Engineering. Verified email at yonsei.ac.kr - Homepage · Photonic quantum computingOptical neural networkMetamaterialsTopological ...",https://scholar.google.com/citations?user=AG1oAa8AAAAJ&hl=en,Google Scholar
Ki Jun Yu,HfU4zn8AAAAJ,"Lee Youn Jae Fellow Professor of Electrical & Electronic Engineering, Yonsei University - ‪‪Cited by 18519‬‬ - ‪Flexible Electronics‬ - ‪Bio-integrated‬ ...",https://scholar.google.com/citations?user=HfU4zn8AAAAJ&hl=en,Google Scholar
Seong Chan Jun,6ngSITAAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 15423‬‬ - ‪Nano-Electronics/Photonics‬ - ‪Nano-Energy‬ - ‪AI Multi Sensor‬",https://scholar.google.com/citations?user=6ngSITAAAAAJ&hl=en,Google Scholar
Jongeun Choi,Z-UlU3MAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 4540‬‬ - ‪Machine Learning‬ - ‪Robot Learning‬ - ‪Systems and Control‬ - ‪AI in‬ ...",https://scholar.google.com/citations?user=Z-UlU3MAAAAJ&hl=en,Google Scholar
Yoon Seok Jung - Google 학술 검색,XyiSAkUAAAAJ,"Department of Chemical and Biomolecular Engineering, Yonsei University - ‪‪인용 횟수 16164번‬‬ - ‪Batteries‬ - ‪Electrochemistry‬",https://scholar.google.com/citations?user=XyiSAkUAAAAJ&hl=ko,Google Scholar
Wonjung Kim,hSUXwCQAAAAJ,"Associate Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage Small-scale fluids",https://scholar.google.com/citations?user=hSUXwCQAAAAJ&hl=en,Google Scholar
WonHyoung Ryu,qSJdRfwAAAAJ,"Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Nano fabrication3D printingMicroneedlePhotosynthetic ...",https://scholar.google.com/citations?user=qSJdRfwAAAAJ&hl=en,Google Scholar
Taeyoon Lee,hDl2Z8wAAAAJ,"Professor of Electrical and Electronic Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage",https://scholar.google.com/citations?user=hDl2Z8wAAAAJ&hl=en,Google Scholar
Kyoungsoo Park,j1H0EVwAAAAJ,"Professor of Civil & Environmental Engineering, Yonsei University - ‪‪Cited by 4639‬‬ - ‪Fracture mechanics‬ - ‪Computational mechanics‬ - ‪Concrete‬",https://scholar.google.com/citations?user=j1H0EVwAAAAJ&hl=en,Google Scholar
Jongsup Hong,dYzIc38AAAAJ,"Professor, Department of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Heat and Mass TransportThermo-electrochemistry ...",https://scholar.google.com/citations?user=dYzIc38AAAAJ&hl=en,Google Scholar
Kyoungsik Kim,AG1oAa8AAAAJ,"Yonsei University, Mechanical Engineering. Verified email at yonsei.ac.kr - Homepage · Photonic quantum computingOptical neural networkMetamaterialsTopological ...",https://scholar.google.com/citations?user=AG1oAa8AAAAJ&hl=en,Google Scholar
Ki Jun Yu,HfU4zn8AAAAJ,"Lee Youn Jae Fellow Professor of Electrical & Electronic Engineering, Yonsei University - ‪‪Cited by 18519‬‬ - ‪Flexible Electronics‬ - ‪Bio-integrated‬ ...",https://scholar.google.com/citations?user=HfU4zn8AAAAJ&hl=en,Google Scholar
Seong Chan Jun,6ngSITAAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 15423‬‬ - ‪Nano-Electronics/Photonics‬ - ‪Nano-Energy‬ - ‪AI Multi Sensor‬",https://scholar.google.com/citations?user=6ngSITAAAAAJ&hl=en,Google Scholar
Jongeun Choi,Z-UlU3MAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 4540‬‬ - ‪Machine Learning‬ - ‪Robot Learning‬ - ‪Systems and Control‬ - ‪AI in‬ ...",https://scholar.google.com/citations?user=Z-UlU3MAAAAJ&hl=en,Google Scholar
Yoon Seok Jung - Google 학술 검색,XyiSAkUAAAAJ,"Department of Chemical and Biomolecular Engineering, Yonsei University - ‪‪인용 횟수 16164번‬‬ - ‪Batteries‬ - ‪Electrochemistry‬",https://scholar.google.com/citations?user=XyiSAkUAAAAJ&hl=ko,Google Scholar
Wonjung Kim,hSUXwCQAAAAJ,"Associate Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage Small-scale fluids",https://scholar.google.com/citations?user=hSUXwCQAAAAJ&hl=en,Google Scholar
WonHyoung Ryu,qSJdRfwAAAAJ,"Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Nano fabrication3D printingMicroneedlePhotosynthetic ...",https://scholar.google.com/citations?user=qSJdRfwAAAAJ&hl=en,Google Scholar
Taeyoon Lee,hDl2Z8wAAAAJ,"Professor of Electrical and Electronic Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage",https://scholar.google.com/citations?user=hDl2Z8wAAAAJ&hl=en,Google Scholar
Kyoungsoo Park,j1H0EVwAAAAJ,"Professor of Civil & Environmental Engineering, Yonsei University - ‪‪Cited by 4639‬‬ - ‪Fracture mechanics‬ - ‪Computational mechanics‬ - ‪Concrete‬",https://scholar.google.com/citations?user=j1H0EVwAAAAJ&hl=en,Google Scholar
Jongsup Hong,dYzIc38AAAAJ,"Professor, Department of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Heat and Mass TransportThermo-electrochemistry ...",https://scholar.google.com/citations?user=dYzIc38AAAAJ&hl=en,Google Scholar
Kyoungsik Kim,AG1oAa8AAAAJ,"Yonsei University, Mechanical Engineering. Verified email at yonsei.ac.kr - Homepage · Photonic quantum computingOptical neural networkMetamaterialsTopological ...",https://scholar.google.com/citations?user=AG1oAa8AAAAJ&hl=en,Google Scholar
Ki Jun Yu,HfU4zn8AAAAJ,"Lee Youn Jae Fellow Professor of Electrical & Electronic Engineering, Yonsei University - ‪‪Cited by 18519‬‬ - ‪Flexible Electronics‬ - ‪Bio-integrated‬ ...",https://scholar.google.com/citations?user=HfU4zn8AAAAJ&hl=en,Google Scholar
Seong Chan Jun,6ngSITAAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 15423‬‬ - ‪Nano-Electronics/Photonics‬ - ‪Nano-Energy‬ - ‪AI Multi Sensor‬",https://scholar.google.com/citations?user=6ngSITAAAAAJ&hl=en,Google Scholar
Jongeun Choi,Z-UlU3MAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 4540‬‬ - ‪Machine Learning‬ - ‪Robot Learning‬ - ‪Systems and Control‬ - ‪AI in‬ ...",https://scholar.google.com/citations?user=Z-UlU3MAAAAJ&hl=en,Google Scholar
Yoon Seok Jung - Google 학술 검색,XyiSAkUAAAAJ,"Department of Chemical and Biomolecular Engineering, Yonsei University - ‪‪인용 횟수 16164번‬‬ - ‪Batteries‬ - ‪Electrochemistry‬",https://scholar.google.com/citations?user=XyiSAkUAAAAJ&hl=ko,Google Scholar
Wonjung Kim,hSUXwCQAAAAJ,"Associate Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage Small-scale fluids",https://scholar.google.com/citations?user=hSUXwCQAAAAJ&hl=en,Google Scholar
WonHyoung Ryu,qSJdRfwAAAAJ,"Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Nano fabrication3D printingMicroneedlePhotosynthetic ...",https://scholar.google.com/citations?user=qSJdRfwAAAAJ&hl=en,Google Scholar
Taeyoon Lee,hDl2Z8wAAAAJ,"Professor of Electrical and Electronic Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage",https://scholar.google.com/citations?user=hDl2Z8wAAAAJ&hl=en,Google Scholar
Kyoungsoo Park,j1H0EVwAAAAJ,"Professor of Civil & Environmental Engineering, Yonsei University - ‪‪Cited by 4639‬‬ - ‪Fracture mechanics‬ - ‪Computational mechanics‬ - ‪Concrete‬",https://scholar.google.com/citations?user=j1H0EVwAAAAJ&hl=en,Google Scholar
Jongsup Hong,dYzIc38AAAAJ,"Professor, Department of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Heat and Mass TransportThermo-electrochemistry ...",https://scholar.google.com/citations?user=dYzIc38AAAAJ&hl=en,Google Scholar
Kyoungsik Kim,AG1oAa8AAAAJ,"Yonsei University, Mechanical Engineering. Verified email at yonsei.ac.kr - Homepage · Photonic quantum computingOptical neural networkMetamaterialsTopological ...",https://scholar.google.com/citations?user=AG1oAa8AAAAJ&hl=en,Google Scholar
Ki Jun Yu,HfU4zn8AAAAJ,"Lee Youn Jae Fellow Professor of Electrical & Electronic Engineering, Yonsei University - ‪‪Cited by 18519‬‬ - ‪Flexible Electronics‬ - ‪Bio-integrated‬ ...",https://scholar.google.com/citations?user=HfU4zn8AAAAJ&hl=en,Google Scholar
Seong Chan Jun,6ngSITAAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 15423‬‬ - ‪Nano-Electronics/Photonics‬ - ‪Nano-Energy‬ - ‪AI Multi Sensor‬",https://scholar.google.com/citations?user=6ngSITAAAAAJ&hl=en,Google Scholar
Jongeun Choi,Z-UlU3MAAAAJ,"Professor of Mechanical Engineering, Yonsei University - ‪‪Cited by 4540‬‬ - ‪Machine Learning‬ - ‪Robot Learning‬ - ‪Systems and Control‬ - ‪AI in‬ ...",https://scholar.google.com/citations?user=Z-UlU3MAAAAJ&hl=en,Google Scholar
Yoon Seok Jung - Google 학술 검색,XyiSAkUAAAAJ,"Department of Chemical and Biomolecular Engineering, Yonsei University - ‪‪인용 횟수 16164번‬‬ - ‪Batteries‬ - ‪Electrochemistry‬",https://scholar.google.com/citations?user=XyiSAkUAAAAJ&hl=ko,Google Scholar
Wonjung Kim,hSUXwCQAAAAJ,"Associate Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage Small-scale fluids",https://scholar.google.com/citations?user=hSUXwCQAAAAJ&hl=en,Google Scholar
WonHyoung Ryu,qSJdRfwAAAAJ,"Professor of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Nano fabrication3D printingMicroneedlePhotosynthetic ...",https://scholar.google.com/citations?user=qSJdRfwAAAAJ&hl=en,Google Scholar
Taeyoon Lee,hDl2Z8wAAAAJ,"Professor of Electrical and Electronic Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage",https://scholar.google.com/citations?user=hDl2Z8wAAAAJ&hl=en,Google Scholar
Kyoungsoo Park,j1H0EVwAAAAJ,"Professor of Civil & Environmental Engineering, Yonsei University - ‪‪Cited by 4639‬‬ - ‪Fracture mechanics‬ - ‪Computational mechanics‬ - ‪Concrete‬",https://scholar.google.com/citations?user=j1H0EVwAAAAJ&hl=en,Google Scholar
Jongsup Hong,dYzIc38AAAAJ,"Professor, Department of Mechanical Engineering, Yonsei University. Verified email at yonsei.ac.kr - Homepage · Heat and Mass TransportThermo-electrochemistry ...",https://scholar.google.com/citations?user=dYzIc38AAAAJ&hl=en,Google Scholar
Kyoungsik Kim,AG1oAa8AAAAJ,"Yonsei University, Mechanical Engineering. Verified email at yonsei.ac.kr - Homepage · Photonic quantum computingOptical neural networkMetamaterialsTopological ...",https://scholar.google.com/citations?user=AG1oAa8AAAAJ&hl=en,Google Scholar
Ki Jun Yu,HfU4zn8AAAAJ,"Lee Youn Jae Fellow Professor of Electrical & Electronic Engineering, Yonsei University - ‪‪Cited by 18519‬‬ - ‪Flexible Electronics‬ - ‪Bio-integrated‬ ...",https://scholar.google.com/citations?user=HfU4zn8AAAAJ&hl=en,Google Scholar
